timestamp,route,performance,accessibility,best-practices,seo
2026-08-06T12:58:02Z,/,55,98,100,82
2026-08-06T12:58:18Z,/runs,56,98,100,82
2026-08-06T12:58:37Z,/settings,56,98,100,82
